Name,Undergrad_institution,Graduate_institution
George Washington,Did not attend college,none
John Adams,Harvard University,none
Thomas Jefferson,The College of William and Mary,none
James Madison,Princeton University,none
James Monroe,The College of William and Mary (did not graduate),none
John Quincy Adams,Leiden University (transferred)Harvard University,none
Andrew Jackson,none,none
Martin Van Buren,none,none
William Henry Harrison,Hampden–Sydney College (withdrew),University of Pennsylvania School of Medicine (withdrew)
John Tyler,The College of William and Mary,none
James K. Polk,University of North Carolina at Chapel Hill,none
Zachary Taylor,none,none
Millard Fillmore,none,none
Franklin Pierce,Bowdoin College,Northampton Law School
James Buchanan,Dickinson College,none
Abraham Lincoln,none,none
Andrew Johnson,none,none
Ulysses S. Grant,United States Military Academy,none
Rutherford B. Hayes,Kenyon College,Harvard Law School
James Garfield,Hiram College (transferred)Williams College,none
Chester A. Arthur,Union College,State and National Law School (did not graduate)
Grover Cleveland,none,none
Benjamin Harrison,Miami University,none
Grover Cleveland,,
William McKinley,Allegheny College (withdrew)Mount Union College (withdrew),Albany Law School (withdrew)
Theodore Roosevelt,Harvard University,"Columbia Law School (withdrew) (awarded J.D. in 2008, class of 1882)"
William Howard Taft,Yale University,University of Cincinnati College of Law
Woodrow Wilson,Davidson College (transferred)Princeton University,University of Virginia School of Law (withdrew)Johns Hopkins University (Ph.D.)
Warren G. Harding,Ohio Central College,none
Calvin Coolidge,Amherst College,none
Herbert Hoover,Stanford University,none
Franklin D. Roosevelt,Harvard University,"Columbia Law School (withdrew) (awarded J.D. in 2008, class of 1907)"
Harry S. Truman,Spalding's Commercial College (withdrew),University of Kansas City School of Law (withdrew)
Dwight D. Eisenhower,U.S. Military Academy (West Point),United States Army Command and General Staff CollegeUnited States Army Industrial CollegeUnited States Army War College
John F. Kennedy,London School of Economics (General Course Program)Princeton University (transferred)Harvard University,Stanford Graduate School of Business (auditor)
Lyndon B. Johnson,Southwest Texas State College (now Texas State University),Georgetown University Law Center (withdrew)
Richard Nixon,Whittier College,Duke University School of Law
Gerald Ford,University of Michigan,Yale Law School
Jimmy Carter,Georgia Southwestern College (transferred)Georgia Institute of Technology (transferred)U.S. Naval Academy,Union College (Postgraduate Nuclear Physics Course Program)
Ronald Reagan,Eureka College,none
George H. W. Bush,Yale University,none
Bill Clinton,Georgetown University,University of Oxford (Rhodes Scholar; withdrew)Yale Law School
George W. Bush,Yale University,Harvard Business School
Barack Obama,Occidental College (transferred)Columbia University,Harvard Law School
Donald Trump,Fordham University (transferred)Wharton School of the University of Pennsylvania,None
